,HomePrice,GDPGrowth,MortgageRate,Unemployment,CPI,HousingStarts,PersonalIncome,Population,ConstructionSpending,MedianRent,HomeownershipRate
2005-01-31,161.29,12767.29,5.71,5.3,191.6,2144,11226.5,294914.0,581168,214.5,69.1
2005-02-28,163.35,12767.29,5.63,5.4,192.4,2207,11229.0,295105.0,594003,215.0,69.1
2005-03-31,165.81,12767.29,5.93,5.2,193.1,1864,11268.8,295287.0,597200,215.5,69.1
2005-04-30,167.5,12922.66,5.86,5.2,193.7,2061,11304.2,295490.0,603975,216.0,68.6
2005-05-31,169.35,12922.66,5.72,5.1,193.6,2025,11352.7,295704.0,609170,216.4,68.6
2005-06-30,171.19,12922.66,5.58,5.0,193.7,2068,11375.5,295936.0,622726,216.8,68.6
2005-07-31,172.86,13142.64,5.7,5.0,194.9,2054,11387.1,296186.0,634572,217.5,68.8
2005-08-31,174.44,13142.64,5.82,4.9,196.1,2095,11405.3,296440.0,639501,218.0,68.8
2005-09-30,176.44,13142.64,5.77,5.0,198.8,2151,11365.2,296707.0,652748,218.6,68.8
2005-10-31,178.03,13324.2,6.06,5.0,199.1,2065,11428.7,296972.0,664407,219.3,69.0
2005-11-30,179.68,13324.2,6.33,5.0,198.1,2147,11500.1,297207.0,670757,220.0,69.0
2005-12-31,180.91,13324.2,6.27,4.9,198.1,1994,11535.2,297431.0,676135,220.5,69.0
2006-01-31,182.32,13599.16,6.14,4.7,199.3,2273,11651.8,297647.0,681263,220.9,68.5
2006-02-28,183.29,13599.16,6.25,4.8,199.4,2119,11702.8,297854.0,684482,221.6,68.5
2006-03-31,184.36,13599.16,6.32,4.7,199.7,1969,11747.5,298060.0,674457,222.3,68.5
2006-04-30,184.33,13753.42,6.51,4.7,200.7,1821,11744.4,298281.0,656899,222.9,68.7
2006-05-31,184.16,13753.42,6.6,4.6,201.3,1942,11736.8,298496.0,640049,223.6,68.7
2006-06-30,183.51,13753.42,6.68,4.6,201.8,1802,11751.9,298739.0,621219,224.4,68.7
2006-07-31,183.07,13870.19,6.76,4.7,202.9,1737,11746.9,298996.0,604020,225.2,69.0
2006-08-31,182.59,13870.19,6.52,4.7,203.8,1650,11737.0,299263.0,590189,226.2,69.0
2006-09-30,182.8,13870.19,6.4,4.5,202.8,1720,11800.1,299554.0,579753,227.1,69.0
2006-10-31,183.2,14039.56,6.36,4.4,201.9,1491,11853.7,299835.0,567752,228.0,68.9
2006-11-30,183.61,14039.56,6.24,4.5,202.0,1570,11901.9,300094.0,555299,228.9,68.9
2006-12-31,184.14,14039.56,6.14,4.4,203.1,1649,11958.6,300340.0,551740,230.0,68.9
2007-01-31,184.52,14215.65,6.22,4.6,203.44,1409,11956.6,300574.0,544096,230.81,68.4
2007-02-28,184.6,14215.65,6.28,4.5,204.23,1480,11996.0,300802.0,538260,231.74,68.4
2007-03-31,184.15,14215.65,6.16,4.4,205.29,1495,12035.1,301021.0,534655,232.5,68.4
2007-04-30,183.01,14402.08,6.18,4.5,205.9,1490,12052.8,301254.0,530749,232.98,68.2
2007-05-31,181.6,14402.08,6.26,4.4,206.76,1415,12059.9,301483.0,521499,233.55,68.2
2007-06-30,180.25,14402.08,6.66,4.6,207.23,1448,12053.3,301739.0,513524,234.07,68.2
2007-07-31,179.11,14564.12,6.7,4.7,207.6,1354,12066.4,302004.0,503486,234.73,68.2
2007-08-31,178.12,14564.12,6.57,4.6,207.67,1330,12070.9,302267.0,488816,235.31,68.2
2007-09-30,177.56,14564.12,6.38,4.7,208.55,1183,12089.6,302546.0,472995,236.06,68.2
2007-10-31,176.62,14715.06,6.38,4.7,209.19,1264,12080.4,302807.0,455045,237.14,67.8
2007-11-30,175.15,14715.06,6.21,4.7,210.83,1197,12070.1,303054.0,439144,238.17,67.8
2007-12-31,174.34,14715.06,6.1,5.0,211.44,1037,12120.5,303287.0,423699,239.1,67.8
2008-01-31,173.13,14706.54,5.76,5.0,212.17,1084,12137.1,303506.0,409420,239.85,67.8
2008-02-29,171.54,14706.54,5.92,4.9,212.69,1103,12141.8,303711.0,393193,240.32,67.8
2008-03-31,170.05,14706.54,5.97,5.1,213.45,1005,12145.9,303907.0,397469,240.87,67.8
2008-04-30,168.34,14865.7,5.92,5.0,213.94,1013,12100.8,304117.0,392801,241.47,68.1
2008-05-31,166.66,14865.7,6.04,5.4,215.21,973,12696.2,304323.0,389335,241.8,68.1
2008-06-30,165.02,14865.7,6.32,5.6,217.46,1046,12376.6,304556.0,382000,242.64,68.1
2008-07-31,163.56,14899.0,6.43,5.8,219.02,923,12188.7,304798.0,372755,243.37,67.9
2008-08-31,161.99,14899.0,6.48,6.1,218.69,844,12120.6,305045.0,360382,244.18,67.9
2008-09-30,160.31,14899.0,6.04,6.1,218.88,820,12149.0,305309.0,348206,244.93,67.9
2008-10-31,158.33,14608.21,6.2,6.5,217.0,777,12240.5,305554.0,336824,245.86,67.5
2008-11-30,156.14,14608.21,6.09,6.8,213.15,652,12345.9,305786.0,320284,246.68,67.5
2008-12-31,153.62,14608.21,5.29,7.3,211.4,560,12288.8,306004.0,301332,247.28,67.5
2009-01-31,151.51,14430.9,5.05,7.8,211.93,490,12361.5,306208.0,291523,247.97,67.3
2009-02-28,150.01,14430.9,5.13,8.3,212.7,582,12241.9,306402.0,276113,248.3,67.3
2009-03-31,148.66,14430.9,5.0,8.7,212.5,505,12242.7,306588.0,262528,248.64,67.3
2009-04-30,147.95,14381.24,4.81,9.0,212.71,478,12320.0,306787.0,251235,248.9,67.4
2009-05-31,147.69,14381.24,4.86,9.4,213.02,540,12500.1,306984.0,244399,249.07,67.4
2009-06-30,148.09,14381.24,5.42,9.5,214.79,585,12273.2,307206.0,245226,249.09,67.4
2009-07-31,148.41,14448.88,5.22,9.5,214.73,594,12218.7,307439.0,252642,248.99,67.6
2009-08-31,148.28,14448.88,5.19,9.6,215.44,586,12194.8,307685.0,258774,249.03,67.6
2009-09-30,148.02,14448.88,5.06,9.8,215.86,585,12230.6,307946.0,262509,248.96,67.6
2009-10-31,147.85,14651.25,4.95,10.0,216.51,534,12193.2,308189.0,263232,248.89,67.2
2009-11-30,148.14,14651.25,4.88,9.9,217.23,588,12224.4,308418.0,263973,248.89,67.2
2009-12-31,147.93,14651.25,4.93,9.9,217.35,581,12280.2,308633.0,264592,249.0,67.2
2010-01-31,147.4,14764.61,5.03,9.8,217.49,614,12285.8,308833.0,263680,249.14,67.1
2010-02-28,145.63,14764.61,4.99,9.8,217.28,604,12292.0,309027.0,263649,249.02,67.1
2010-03-31,145.86,14764.61,4.97,9.9,217.35,636,12340.3,309212.0,263220,249.09,67.1
2010-04-30,146.4,14980.19,5.1,9.9,217.4,687,12447.1,309191.21,264593,249.01,66.9
2010-05-31,146.39,14980.19,4.89,9.6,217.29,583,12540.3,309367.58,263020,248.92,66.9
2010-06-30,145.72,14980.19,4.74,9.4,217.2,536,12544.3,309545.56,261202,249.0,66.9
2010-07-31,144.99,15141.61,4.56,9.4,217.6,546,12554.2,309741.28,254964,249.13,66.9
2010-08-31,143.91,15141.61,4.43,9.5,217.92,599,12591.4,309951.8,249367,249.02,66.9
2010-09-30,143.01,15141.61,4.35,9.5,218.28,594,12589.9,310168.93,249015,249.37,66.9
2010-10-31,142.53,15309.47,4.22,9.4,219.04,543,12592.5,310390.86,247981,249.62,66.5
2010-11-30,142.17,15309.47,4.3,9.8,219.59,545,12605.1,310585.11,248808,250.32,66.5
2010-12-31,142.05,15309.47,4.71,9.3,220.47,539,12680.6,310769.49,248929,250.99,66.5
2011-01-31,141.51,15351.45,4.76,9.1,221.19,630,12740.1,310946.96,250965,251.56,66.4
2011-02-28,140.34,15351.45,4.95,9.0,221.9,517,12776.6,311098.04,249760,251.83,66.4
2011-03-31,139.97,15351.45,4.84,9.0,223.05,600,12742.7,311248.51,251180,252.14,66.4
2011-04-30,140.01,15557.54,4.84,9.1,224.09,554,12721.3,311417.78,253897,252.22,65.9
2011-05-31,139.9,15557.54,4.64,9.0,224.81,561,12705.3,311587.06,254629,252.39,65.9
2011-06-30,139.86,15557.54,4.51,9.1,224.81,608,12756.9,311769.65,256286,252.59,65.9
2011-07-31,139.73,15647.68,4.54,9.0,225.4,623,12805.6,311973.91,257737,253.08,66.3
2011-08-31,139.31,15647.68,4.27,9.0,226.11,585,12799.7,312180.56,259960,254.0,66.3
2011-09-30,138.66,15647.68,4.11,9.0,226.6,650,12781.7,312402.63,258293,254.63,66.3
2011-10-31,137.95,15842.26,4.07,8.8,226.75,610,12791.9,312616.0,260305,255.65,66.0
2011-11-30,137.15,15842.26,3.99,8.6,227.17,711,12782.7,312799.69,254401,256.37,66.0
2011-12-31,136.67,15842.26,3.96,8.5,227.22,694,12898.5,312978.2,255090,257.19,66.0
2012-01-31,136.6,16068.8,3.92,8.3,227.84,723,12967.5,313150.0,259223,257.71,65.4
2012-02-29,136.53,16068.8,3.89,8.3,228.33,704,13029.6,313304.12,254120,258.18,65.4
2012-03-31,137.9,16068.8,3.95,8.2,228.81,695,13066.4,313462.84,258662,258.57,65.4
2012-04-30,139.15,16207.12,3.91,8.2,229.19,753,13116.5,313628.92,265032,258.92,65.5
2012-05-31,140.15,16207.12,3.8,8.2,228.71,708,13112.5,313790.65,269833,259.23,65.5
2012-06-30,141.03,16207.12,3.68,8.2,228.52,757,13097.2,313976.04,275699,259.41,65.5
2012-07-31,141.67,16319.54,3.55,8.2,228.59,740,12999.8,314167.56,279707,260.11,65.5
2012-08-31,142.28,16319.54,3.6,8.1,229.92,754,12961.6,314377.38,285467,260.68,65.5
2012-09-30,142.9,16319.54,3.5,7.8,231.02,847,13053.1,314600.06,292076,261.42,65.5
2012-10-31,143.6,16420.42,3.38,7.8,231.64,915,13142.0,314805.56,300200,262.71,65.4
2012-11-30,144.58,16420.42,3.35,7.7,231.25,833,13315.7,315003.71,302823,263.36,65.4
2012-12-31,145.49,16420.42,3.34,7.9,231.22,976,13642.7,315180.87,305105,264.1,65.4
2013-01-31,146.82,16648.19,3.41,8.0,231.68,888,12845.5,315335.98,309893,264.7,65.0
2013-02-28,147.78,16648.19,3.53,7.7,232.94,962,12813.9,315464.79,314633,265.26,65.0
2013-03-31,149.96,16648.19,3.56,7.5,232.28,1010,12852.1,315605.14,318708,265.82,65.0
2013-04-30,151.51,16728.69,3.44,7.6,231.8,835,12893.4,315759.04,322768,265.98,65.0
2013-05-31,152.85,16728.69,3.54,7.5,231.89,930,12954.2,315923.1,327919,266.56,65.0
2013-06-30,154.2,16728.69,4.07,7.5,232.44,839,12955.7,316108.76,330608,266.9,65.0
2013-07-31,155.6,16953.84,4.37,7.3,232.9,880,12941.8,316294.77,334273,267.48,65.3
2013-08-31,156.96,16953.84,4.46,7.2,233.46,917,12969.6,316514.53,341543,268.5,65.3
2013-09-30,158.22,16953.84,4.49,7.2,233.54,850,13027.5,316738.54,345327,269.14,65.3
2013-10-31,159.24,17192.02,4.19,7.2,233.67,925,12974.6,316952.91,351749,269.96,65.2
2013-11-30,160.07,17192.02,4.26,6.9,234.1,1100,12998.9,317156.88,358973,270.7,65.2
2013-12-31,160.99,17192.02,4.46,6.7,234.72,1002,13019.1,317338.62,366094,271.69,65.2
2014-01-31,161.92,17197.74,4.43,6.6,235.29,888,13079.5,317519.21,373352,272.32,64.8
2014-02-28,162.52,17197.74,4.3,6.7,235.55,944,13148.0,317677.38,368792,272.73,64.8
2014-03-31,163.08,17197.74,4.34,6.7,236.03,970,13219.9,317838.92,374228,273.49,64.8
2014-04-30,163.38,17518.51,4.34,6.2,236.47,1043,13270.2,318009.15,380061,274.1,64.7
2014-05-31,163.65,17518.51,4.19,6.3,236.92,1007,13312.9,318187.66,381415,274.71,64.7
2014-06-30,164.06,17518.51,4.16,6.1,237.23,911,13360.4,318380.52,377648,275.32,64.7
2014-07-31,164.58,17804.23,4.13,6.2,237.5,1085,13386.8,318576.96,377696,276.25,64.4
2014-08-31,165.21,17804.23,4.12,6.1,237.46,984,13445.9,318806.53,377992,277.05,64.4
2014-09-30,165.9,17804.23,4.16,5.9,237.48,1023,13486.3,319036.2,387364,278.0,64.4
2014-10-31,166.63,17912.08,4.04,5.7,237.43,1074,13550.7,319262.8,391415,278.98,64.0
2014-11-30,167.33,17912.08,4.0,5.8,236.98,1001,13624.4,319471.44,396871,280.12,64.0
2014-12-31,168.04,17912.08,3.86,5.6,236.25,1073,13719.1,319651.54,406913,280.87,64.0
2015-01-31,168.62,18063.53,3.67,5.7,234.75,1085,13797.7,319832.19,412410,281.57,63.7
2015-02-28,169.12,18063.53,3.71,5.5,235.34,886,13848.0,319976.21,417214,282.39,63.7
2015-03-31,169.79,18063.53,3.77,5.4,235.98,960,13811.3,320130.65,417610,283.13,63.7
2015-04-30,170.29,18279.78,3.67,5.4,236.22,1190,13842.0,320300.31,423031,283.6,63.4
2015-05-31,170.87,18279.78,3.84,5.6,237.0,1079,13865.6,320480.15,430946,284.24,63.4
2015-06-30,171.47,18279.78,3.98,5.3,237.66,1205,13874.1,320667.89,439934,285.03,63.4
2015-07-31,172.15,18401.63,4.05,5.2,238.03,1146,13905.7,320870.7,446395,286.09,63.7
2015-08-31,172.92,18401.63,3.9,5.1,238.03,1130,13935.8,321093.06,446045,287.07,63.7
2015-09-30,173.82,18401.63,3.89,5.0,237.5,1224,13972.2,321316.35,454657,288.31,63.7
2015-10-31,174.78,18435.14,3.8,5.0,237.73,1058,13996.9,321539.88,454849,289.43,63.8
2015-11-30,175.72,18435.14,3.94,5.1,238.02,1172,13993.4,321741.25,453590,290.32,63.8
2015-12-31,176.53,18435.14,3.96,5.0,237.76,1146,14060.2,321926.18,459296,291.2,63.8
2016-01-31,177.25,18525.93,3.87,4.8,237.65,1092,14121.1,322114.09,462747,292.0,63.5
2016-02-29,177.64,18525.93,3.66,4.9,237.34,1225,14135.3,322277.45,468727,292.78,63.5
2016-03-31,178.15,18525.93,3.69,5.0,238.08,1111,14135.4,322428.94,475918,293.49,63.5
2016-04-30,178.75,18711.7,3.6,5.1,238.99,1163,14106.2,322596.81,474750,294.18,62.9
2016-05-31,179.41,18711.7,3.6,4.8,239.56,1148,14095.5,322773.71,475303,295.04,62.9
2016-06-30,180.08,18711.7,3.57,4.9,240.22,1203,14104.9,322960.31,480899,295.9,62.9
2016-07-31,180.84,18892.64,3.44,4.8,240.1,1239,14160.1,323161.01,483205,296.86,63.5
2016-08-31,181.83,18892.64,3.44,4.9,240.54,1171,14176.7,323369.43,487744,297.92,63.5
2016-09-30,182.8,18892.64,3.46,5.0,241.18,1068,14209.1,323576.01,489380,298.96,63.5
2016-10-31,183.73,19089.38,3.47,4.9,241.74,1313,14235.4,323783.99,503719,300.4,63.7
2016-11-30,184.74,19089.38,3.77,4.7,242.03,1140,14273.6,323968.88,511582,301.59,63.7
2016-12-31,185.71,19089.38,4.2,4.7,242.64,1252,14313.7,324135.36,519253,302.74,63.7
2017-01-31,186.78,19280.08,4.15,4.7,243.62,1190,14373.7,324296.75,518603,303.47,63.6
2017-02-28,187.31,19280.08,4.17,4.6,244.01,1271,14416.8,324427.38,538752,304.21,63.6
2017-03-31,187.98,19280.08,4.2,4.4,243.89,1190,14476.3,324560.0,534744,304.87,63.6
2017-04-30,188.71,19438.64,4.04,4.4,244.19,1146,14509.3,324704.64,539830,305.48,63.7
2017-05-31,189.6,19438.64,4.01,4.4,244.0,1157,14610.7,324861.32,542997,306.38,63.7
2017-06-30,190.48,19438.64,3.9,4.3,244.16,1249,14618.7,325027.02,542676,307.31,63.7
2017-07-31,191.44,19692.6,3.97,4.3,244.24,1206,14660.2,325206.03,547770,308.17,63.9
2017-08-31,192.63,19692.6,3.88,4.4,245.18,1159,14678.3,325386.46,548235,309.48,63.9
2017-09-30,193.73,19692.6,3.8,4.3,246.44,1181,14706.0,325565.29,550999,310.27,63.9
2017-10-31,194.78,20037.09,3.9,4.2,246.63,1257,14748.6,325741.64,545186,311.5,64.2
2017-11-30,195.93,20037.09,3.92,4.2,247.28,1273,14771.1,325898.86,568909,312.67,64.2
2017-12-31,197.16,20037.09,3.95,4.1,247.8,1177,14797.9,326036.74,572747,313.9,64.2
2018-01-31,198.3,20328.55,4.03,4.0,248.86,1299,14886.6,326163.26,577835,314.79,64.2
2018-02-28,199.23,20328.55,4.33,4.1,249.53,1277,14921.1,326268.89,583642,315.28,64.2
2018-03-31,199.97,20328.55,4.44,4.0,249.58,1318,14974.8,326377.17,579534,315.88,64.2
2018-04-30,200.65,20580.91,4.47,4.0,250.23,1276,15007.2,326496.85,581083,316.76,64.3
2018-05-31,201.41,20580.91,4.59,3.8,250.79,1357,15057.8,326628.82,583468,317.49,64.3
2018-06-30,202.19,20580.91,4.57,4.0,251.02,1192,15119.3,326769.73,575230,318.32,64.3
2018-07-31,202.88,20798.73,4.53,3.8,251.21,1208,15184.7,326923.98,566419,319.35,64.4
2018-08-31,203.65,20798.73,4.55,3.8,251.66,1288,15238.6,327086.83,556872,320.65,64.4
2018-09-30,204.31,20798.73,4.63,3.7,252.18,1250,15237.5,327248.13,556832,321.53,64.4
2018-10-31,205.08,20917.87,4.83,3.8,252.77,1221,15274.1,327407.0,542093,322.63,64.8
2018-11-30,205.65,20917.87,4.87,3.8,252.59,1181,15315.2,327546.8,544574,323.97,64.8
2018-12-31,206.14,20917.87,4.64,3.9,252.77,1095,15506.5,327667.59,525237,324.82,64.8
2019-01-31,206.54,21111.6,4.46,4.0,252.56,1226,15536.3,327776.54,522395,325.6,64.2
2019-02-28,206.86,21111.6,4.37,3.8,253.32,1121,15560.4,327871.96,522323,326.35,64.2
2019-03-31,207.08,21111.6,4.26,3.8,254.28,1191,15566.5,327970.02,523880,327.51,64.2
2019-04-30,207.53,21397.94,4.14,3.7,255.23,1272,15534.2,328079.47,529622,328.68,64.1
2019-05-31,208.13,21397.94,4.07,3.6,255.3,1293,15532.4,328201.24,535160,329.33,64.1
2019-06-30,208.57,21397.94,3.8,3.6,255.21,1243,15562.1,328331.95,547690,330.65,64.1
2019-07-31,209.18,21717.17,3.76,3.7,255.8,1240,15581.4,328476.0,559527,331.6,64.8
2019-08-31,210.03,21717.17,3.62,3.6,256.04,1375,15664.3,328646.02,567157,332.64,64.8
2019-09-30,210.83,21717.17,3.6,3.5,256.43,1311,15697.5,328814.48,571576,333.83,64.8
2019-10-31,211.73,21933.22,3.69,3.6,257.15,1325,15718.1,328980.52,575431,334.68,65.1
2019-11-30,212.77,21933.22,3.7,3.6,257.88,1353,15766.9,329127.48,587966,335.82,65.1
2019-12-31,213.95,21933.22,3.72,3.6,258.63,1548,15683.8,329255.44,594903,336.79,65.1
2020-01-31,215.05,21727.66,3.62,3.6,259.13,1581,15857.3,329371.56,605525,337.82,65.3
2020-02-29,215.91,21727.66,3.47,3.5,259.25,1549,15916.8,329474.14,615579,338.62,65.3
2020-03-31,216.46,21727.66,3.45,4.4,258.08,1266,15704.9,329579.36,625039,339.52,65.3
2020-04-30,216.85,19935.44,3.31,14.8,256.03,936,18030.2,331762.54,604831,340.14,67.9
2020-05-31,216.94,19935.44,3.23,13.2,255.8,1039,17114.4,331737.58,593628,340.81,67.9
2020-06-30,217.46,19935.44,3.16,11.0,257.04,1266,17047.5,331765.36,600216,341.29,67.9
2020-07-31,219.17,21684.55,3.02,10.2,258.35,1526,17195.8,331824.01,620861,341.95,67.4
2020-08-31,222.27,21684.55,2.94,8.4,259.32,1396,16524.8,331898.86,651017,342.44,67.4
2020-09-30,225.72,21684.55,2.89,7.8,260.0,1473,16616.5,331973.36,673151,342.91,67.4
2020-10-31,229.67,22068.77,2.83,6.9,260.32,1543,16552.9,332059.99,694193,343.62,65.8
2020-11-30,233.25,22068.77,2.76,6.7,260.91,1543,16350.6,332123.25,713191,344.04,65.8
2020-12-31,236.59,22068.77,2.68,6.7,262.04,1614,16391.2,332135.37,735647,344.46,65.8
2021-01-31,239.74,22656.79,2.74,6.4,262.64,1630,18146.5,332090.34,754534,344.76,65.6
2021-02-28,242.48,22656.79,2.81,6.2,263.57,1404,16633.9,332026.22,747335,345.24,65.6
2021-03-31,245.55,22656.79,3.08,6.1,264.85,1696,20445.8,332042.17,765730,345.72,65.6
2021-04-30,249.08,23368.86,3.06,6.1,266.62,1495,17335.4,332106.0,778854,346.27,65.4
2021-05-31,253.25,23368.86,2.96,5.8,268.4,1589,16836.3,332174.3,790798,347.02,65.4
2021-06-30,258.02,23368.86,2.98,5.9,270.71,1650,16757.8,332249.03,801767,347.83,65.4
2021-07-31,262.38,23921.99,2.87,5.4,271.96,1597,16867.8,332349.6,817294,348.47,65.4
2021-08-31,266.58,23921.99,2.84,5.1,272.75,1594,16832.4,332559.49,820860,349.71,65.4
2021-09-30,270.15,23921.99,2.9,4.7,273.94,1577,16641.8,332727.61,830776,351.26,65.4
2021-10-31,273.61,24777.04,3.07,4.5,276.53,1579,16648.1,332882.66,840601,352.89,65.5
2021-11-30,277.38,24777.04,3.07,4.2,278.82,1705,16598.3,333039.59,865232,354.53,65.5
2021-12-31,281.62,24777.04,3.1,3.9,280.81,1722,16525.4,333193.94,894058,355.93,65.5
2022-01-31,286.3,25215.49,3.44,4.0,282.54,1702,16143.2,333326.87,922018,357.74,65.4
2022-02-28,291.36,25215.49,3.76,3.8,284.52,1735,16143.0,333393.36,947697,359.63,65.4
2022-03-31,296.53,25215.49,4.17,3.7,287.47,1712,16065.5,333519.88,966049,361.08,65.4
2022-04-30,300.42,25805.79,4.98,3.7,288.58,1820,16063.7,333700.24,980530,362.95,65.8
2022-05-31,303.3,25805.79,5.23,3.6,291.3,1531,16049.1,333883.92,990265,365.12,65.8
2022-06-30,304.03,25805.79,5.52,3.6,295.07,1551,16015.9,334068.2,965669,367.93,65.8
2022-07-31,303.11,26272.01,5.41,3.5,294.94,1381,16219.1,334267.01,940994,370.45,66.0
2022-08-31,301.0,26272.01,5.22,3.6,295.16,1531,16314.4,334518.53,924531,373.28,66.0
2022-09-30,299.01,26272.01,6.11,3.5,296.42,1488,16372.3,334786.35,906729,376.57,66.0
2022-10-31,298.77,26734.28,6.9,3.6,297.98,1435,16424.3,335038.54,893987,379.44,65.9
2022-11-30,298.57,26734.28,6.8,3.6,298.71,1424,16436.5,335271.22,879990,382.56,65.9
2022-12-31,297.89,26734.28,6.36,3.5,298.81,1308,16497.5,335501.19,870149,385.65,65.9
2023-01-31,297.68,27164.36,6.27,3.5,300.46,1361,16808.5,335706.48,865490,388.37,66.0
2023-02-28,298.09,27164.36,6.26,3.6,301.48,1399,16879.1,335908.02,857923,391.14,66.0
2023-03-31,299.07,27164.36,6.54,3.5,301.64,1377,16968.0,336121.03,857412,392.91,66.0
2023-04-30,300.27,27453.82,6.34,3.4,302.86,1354,16983.3,336342.47,855330,394.9,65.9
2023-05-31,302.14,27453.82,6.42,3.6,303.32,1584,17041.9,336560.1,872594,396.73,65.9
2023-06-30,304.04,27453.82,6.71,3.6,304.1,1421,17050.3,336798.3,875539,398.59,65.9
2023-07-31,306.24,27967.7,6.84,3.5,304.62,1460,17061.6,337051.67,885096,400.21,66.0
2023-08-31,309.04,27967.7,7.07,3.7,306.14,1317,17085.8,337348.81,887564,402.25,66.0
2023-09-30,311.18,27967.7,7.2,3.8,307.37,1371,17101.1,337653.37,888453,404.49,66.0
2023-10-31,313.26,28296.97,7.62,3.9,307.65,1368,17152.8,337946.55,888700,406.68,65.7
2023-11-30,314.27,28296.97,7.44,3.7,308.09,1514,17229.4,338229.63,889691,408.84,65.7
2023-12-31,315.08,28296.97,6.82,3.8,308.74,1521,17267.4,338502.55,897183,410.61,65.7
2024-01-31,316.3,28624.07,6.64,3.7,309.79,1381,17426.2,338749.37,915398,412.02,65.6
2024-02-29,317.75,28624.07,6.78,3.9,311.02,1552,17442.4,338983.96,925498,413.7,65.6
2024-03-31,318.67,28624.07,6.82,3.9,312.11,1312,17486.9,339244.15,923926,415.22,65.6
2024-04-30,319.34,29016.71,6.99,3.9,313.02,1385,17464.9,339511.22,949358,416.39,65.6
2024-05-31,320.07,29016.71,7.06,4.0,313.14,1316,17511.1,339784.0,953150,417.77,65.6
2024-06-30,320.54,29016.71,6.92,4.1,313.13,1327,17515.6,340069.73,923630,418.82,65.6
2024-07-31,321.22,29374.91,6.85,4.2,313.57,1265,17505.0,340355.92,921141,420.58,65.6
2024-08-31,322.28,29374.91,6.5,4.2,314.13,1391,17494.6,340539.35,935125,422.22,65.6
2024-09-30,323.28,29374.91,6.18,4.1,314.85,1357,17519.6,340734.17,903941,423.82,65.6
2024-10-31,324.47,29723.86,6.43,4.1,315.56,1352,17586.3,340916.48,934237,425.38,65.7
2024-11-30,326.01,29723.86,6.8,4.2,316.45,1295,17618.0,341088.46,936848,426.65,65.7
2024-12-31,327.68,29723.86,6.72,4.1,317.6,1514,17638.6,341249.83,939666,428.15,65.7
2025-01-31,329.48,29976.64,6.96,4.0,319.09,1358,17655.7,341390.43,941441,429.51,65.1
